Order_ID,Date,Product,Category,Region,Quantity,Unit_Price,Revenue,Profit,Current_Stock
1001,2024-01-05,Laptop,Electronics,North,5,50000,250000,50000,120
1002,2024-01-07,Mobile,Electronics,South,10,25000,250000,60000,200
1003,2024-01-09,Headphones,Accessories,East,15,2000,30000,9000,350
1004,2024-01-11,Keyboard,Accessories,West,20,1500,30000,7500,400
1005,2024-01-13,Mouse,Accessories,North,25,1000,25000,7000,500
1006,2024-01-15,Monitor,Electronics,South,8,15000,120000,25000,80
1007,2024-01-18,Tablet,Electronics,East,6,30000,180000,40000,90
1008,2024-01-20,Printer,Office,West,4,12000,48000,12000,60
1009,2024-01-22,Scanner,Office,North,3,10000,30000,8000,50
1010,2024-01-25,Chair,Furniture,South,12,5000,60000,15000,140
1011,2024-02-05,Laptop,Electronics,North,7,50000,350000,70000,110
1012,2024-02-07,Mobile,Electronics,South,12,25000,300000,70000,180
1013,2024-02-10,Headphones,Accessories,East,18,2000,36000,11000,320
1014,2024-02-13,Keyboard,Accessories,West,22,1500,33000,9000,380
1015,2024-02-15,Mouse,Accessories,North,30,1000,30000,8500,470
1016,2024-02-18,Monitor,Electronics,South,10,15000,150000,30000,75
1017,2024-02-20,Tablet,Electronics,East,8,30000,240000,50000,85
1018,2024-02-23,Printer,Office,West,5,12000,60000,15000,55
1019,2024-02-25,Scanner,Office,North,4,10000,40000,10000,45
1020,2024-02-28,Chair,Furniture,South,15,5000,75000,18000,130
